ID,Suc_pra,Cen_jac,Achilea,Cirsium,Pim_sax,Ran_acr,Ran_fla,Ang_syl,Lat_pra,Plantago,Poaceae,Cre_bie,Her_sph,Lyc_eur,indet,Dau_car,Kna_arv,Lot_cor,Leo_his,Apiaceae,Tri_spp
24_13_8_Suc_B24_1,60,12,2,2,,,,,,,,,,,1,,,,,,
24_13_8_Suc_B24_2,44,10,2,,,,3,,1,,,,,,1,,,,,,
24_13_8_Suc_B25_1,41,,1,,,,,,,,,,,,2,,,,,,
24_13_8_Suc_B25_2,21,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B25_3,39,1,,2,,,,,,,,,,,,,,,,,
24_13_8_Suc_B26_1,41,,1,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B26_2,35,,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B26_3,42,,2,,,,,,1,,,,,,,,,,,,
24_13_8_Suc_B27_1,32,2,,1,,,,,,,,,,,,,,,,,
24_13_8_Suc_B27_2,45,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B27_3,45,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B28_1,2,,,,,,,,,,,,,,,,,,,,
24_13_8_Suc_B28_2,61,6,3,,,,,,,,,,,1,,,,,,,
24_13_8_Suc_B28_3,52,,,,,,,,,,,,,,,,,,,,
